forget_set,config_tag,strategy,budget,seed_repeat_id,tier,n_steps,lr,n_draws,baseline_acc,unlearned_acc_mean,unlearned_acc_std,diff,overall_baseline,overall_unlearned_mean,overall_diff
forget_random_100_seed43.npy,random_100_seed43,random,100,43,long_tail,50,0.0001,5,0.27099999999729,0.25693333333076396,0.022898399416199967,-0.014066666666526062,0.35749999999642507,0.34951999999650485,-0.007979999999920218
forget_random_100_seed43.npy,random_100_seed43,random,100,43,safety_critical,50,0.0001,5,0.08699999999913001,0.085799999999142,0.011869028944108746,-0.0011999999999880162,0.35749999999642507,0.34951999999650485,-0.007979999999920218
forget_random_100_seed44.npy,random_100_seed44,random,100,44,majority,50,0.0001,5,0.597499999994025,0.588099999994119,0.020277192861112896,-0.009399999999906039,0.35749999999642507,0.34727999999652726,-0.01021999999989781
forget_random_100_seed44.npy,random_100_seed44,random,100,44,mid_tail,50,0.0001,5,0.3699999999963,0.35929999999640694,0.02278664210960549,-0.010699999999893073,0.35749999999642507,0.34727999999652726,-0.01021999999989781
forget_random_100_seed44.npy,random_100_seed44,random,100,44,long_tail,50,0.0001,5,0.27099999999729,0.257599999997424,0.020022962927111112,-0.013399999999866019,0.35749999999642507,0.34727999999652726,-0.01021999999989781
forget_random_100_seed44.npy,random_100_seed44,random,100,44,safety_critical,50,0.0001,5,0.08699999999913001,0.086599999999134,0.00913684593466434,-0.00039999999999601465,0.35749999999642507,0.34727999999652726,-0.01021999999989781
forget_random_100_seed45.npy,random_100_seed45,random,100,45,majority,50,0.0001,5,0.597499999994025,0.589399999994106,0.02278304123872541,-0.00809999999991906,0.35749999999642507,0.35069999999649304,-0.006799999999932027
forget_random_100_seed45.npy,random_100_seed45,random,100,45,mid_tail,50,0.0001,5,0.3699999999963,0.36599999999634,0.024635351361807327,-0.0039999999999600355,0.35749999999642507,0.35069999999649304,-0.006799999999932027
forget_random_100_seed45.npy,random_100_seed45,random,100,45,long_tail,50,0.0001,5,0.27099999999729,0.25919999999740795,0.02067460209264108,-0.011799999999882071,0.35749999999642507,0.35069999999649304,-0.006799999999932027
forget_random_100_seed45.npy,random_100_seed45,random,100,45,safety_critical,50,0.0001,5,0.08699999999913001,0.08659999999913401,0.012166059673605867,-0.0003999999999960008,0.35749999999642507,0.35069999999649304,-0.006799999999932027
forget_random_100_seed46.npy,random_100_seed46,random,100,46,majority,50,0.0001,5,0.597499999994025,0.5929999999940702,0.01884472137549951,-0.004499999999954873,0.35749999999642507,0.34867999999651317,-0.008819999999911898
